t,V(point1),V(point2),V(point3),V(point4)
0.0,-0.065,-0.065,-0.065,-0.065
1e-05,-0.06499999185094774,-0.06499999292632655,-0.06499999294880877,-0.06499999352050635
2e-05,-0.0649999842328369,-0.0649999853565757,-0.06499998538358265,-0.06499998607823516
3.0000000000000004e-05,-0.06499997665095159,-0.06499997777539444,-0.06499997780264966,-0.06499997851776797
4e-05,-0.06499996907388064,-0.06499997019817169,-0.06499997022516911,-0.0649999709436242
5e-05,-0.06499996149898929,-0.06499996262336999,-0.06499996265008304,-0.06499996336924344
6.000000000000001e-05,-0.06499995392604532,-0.0649999550505731,-0.06499995507700378,-0.06499995579646474
7.000000000000001e-05,-0.06499994635499405,-0.06499994747968081,-0.06499994750582783,-0.064999948225536
8e-05,-0.06499993878584386,-0.06499993991069078,-0.06499993993655334,-0.06499994065650158
9e-05,-0.06499993121858225,-0.06499993234358842,-0.06499993236916964,-0.06499993308935571
0.0001,-0.06499992365321286,-0.06499992477837924,-0.06499992480367803,-0.0649999255240998
0.00011,-0.06499991608972999,-0.06499991721505659,-0.0649999172400719,-0.06499991796073068
0.00012000000000000002,-0.06499990852815044,-0.06499990965363281,-0.06499990967836954,-0.0649999103992655
0.00013000000000000002,-0.06499990096845588,-0.06499990209410128,-0.06499990211855101,-0.06499990283968453
0.00014000000000000001,-0.06499989341065233,-0.06499989453645585,-0.06499989456062447,-0.06499989528199372
0.00015000000000000001,-0.06499988585472752,-0.06499988698069163,-0.06499988700458068,-0.06499988772618573
0.00016,-0.06499987830069898,-0.06499987942681969,-0.06499987945042955,-0.06499988017227099
0.00017,-0.06499987074855675,-0.06499987187483625,-0.0649998718981647,-0.06499987262024409
0.00018,-0.06499986319829396,-0.0649998643247357,-0.06499986434777971,-0.06499986507009474
0.00019,-0.06499985564994039,-0.06499985677653877,-0.06499985679930322,-0.06499985752185146
0.0002,-0.06499984810345666,-0.06499984923021493,-0.06499984925269947,-0.06499984997548457
0.00021,-0.06499984055887939,-0.06499984168579352,-0.06499984170799715,-0.06499984243102164
0.00022,-0.06499983301617972,-0.0649998341432538,-0.06499983416517503,-0.06499983488843428
0.00023,-0.0649998254753794,-0.06499982660261461,-0.06499982662425116,-0.06499982734774971
0.00024000000000000003,-0.06499981793644749,-0.06499981906384075,-0.06499981908520054,-0.06499981980893131
0.00025,-0.0649998103994068,-0.06499981152696002,-0.0649998115480363,-0.06499981227200599
0.00026000000000000003,-0.06499980286423643,-0.06499980399194963,-0.06499980401274408,-0.06499980473694916
0.00027,-0.06499979533095579,-0.06499979645882552,-0.0649997964793448,-0.06499979720378078
0.00028000000000000003,-0.06499978779955982,-0.06499978892758704,-0.0649997889478254,-0.06499978967249971
0.00029,-0.06499978027004062,-0.06499978139822962,-0.0649997814181841,-0.06499978214309515
0.00030000000000000003,-0.06499977274240214,-0.06499977387074873,-0.064999773890422,-0.06499977461557292
0.00031,-0.06499976521664616,-0.06499976634515031,-0.06499976636454362,-0.06499976708992661
0.00032,-0.0649997576927839,-0.0649997588214475,-0.06499975884056104,-0.06499975956617676
0.00033000000000000005,-0.06499975017079958,-0.06499975129962121,-0.06499975131845567,-0.06499975204430708
0.00034,-0.06499974265070273,-0.06499974377968405,-0.06499974379823639,-0.06499974452431934
0.00035000000000000005,-0.06499973513247223,-0.06499973626161278,-0.06499973627988254,-0.06499973700620879
0.00036,-0.06499972761611263,-0.06499972874541371,-0.06499972876340242,-0.06499972948996222
0.00037000000000000005,-0.06499972010165428,-0.06499972123111047,-0.06499972124882022,-0.06499972197561592
0.00038,-0.06499971258907325,-0.06499971371868937,-0.06499971373611885,-0.06499971446314713
0.00039000000000000005,-0.0649997050783573,-0.06499970620813146,-0.06499970622528133,-0.06499970695254623
0.0004,-0.0649996975695363,-0.06499969869946648,-0.06499969871633786,-0.06499969944383849
0.00041000000000000005,-0.06499969006258002,-0.0649996911926698,-0.06499969120926173,-0.06499969193699529
0.00042,-0.0649996825574955,-0.0649996836877432,-0.06499968370405536,-0.0649996844320277
0.00043000000000000004,-0.06499967505428748,-0.06499967618469418,-0.06499967620072845,-0.06499967692893005
0.00044,-0.06499966755296824,-0.06499966868352995,-0.06499966869928542,-0.06499966942772091
0.00045000000000000004,-0.06499966005351034,-0.06499966118423424,-0.06499966119970622,-0.06499966192837969
0.00046,-0.06499965255593856,-0.06499965368681945,-0.064999653702012,-0.06499965443092298
0.00047000000000000004,-0.06499964506023884,-0.06499964619127808,-0.06499964620619175,-0.06499964693533404
0.00048000000000000007,-0.06499963756642162,-0.0649996386976166,-0.06499963871225008,-0.06499963944162629
0.0004900000000000001,-0.06499963007445644,-0.06499963120581206,-0.06499963122016618,-0.06499963194978071
0.0005,-0.06499962258437486,-0.06499962371588633,-0.06499962372996176,-0.06499962445981096
0.00051,-0.0649996150961665,-0.06499961622783741,-0.06499961624163383,-0.06499961697171552
0.0005200000000000001,-0.06499960760982154,-0.06499960874165034,-0.06499960875516711,-0.0649996094854865
0.0005300000000000001,-0.06499960012534868,-0.06499960125733589,-0.06499960127057333,-0.06499960200112244
0.00054,-0.06499959264275054,-0.06499959377489602,-0.06499959378785522,-0.06499959451863893
0.00055,-0.06499958516202818,-0.06499958629432985,-0.06499958630701012,-0.06499958703802967
0.0005600000000000001,-0.06499957768318537,-0.06499957881564357,-0.06499957882804383,-0.06499957955929841
0.0005700000000000001,-0.06499957020620857,-0.06499957133882621,-0.0649995713509468,-0.06499957208243431
0.00058,-0.0649995627310927,-0.06499956386386922,-0.06499956387571015,-0.06499956460743354
0.00059,-0.06499955525785311,-0.06499955639078722,-0.06499955640235036,-0.06499955713430326
0.0006000000000000001,-0.06499954778646178,-0.06499954891955452,-0.06499954893084209,-0.06499954966302701
0.0006100000000000001,-0.06499954031695832,-0.06499954145020298,-0.06499954146121442,-0.06499954219363685
0.00062,-0.06499953284931673,-0.06499953398272262,-0.06499953399345088,-0.06499953472610975
0.00063,-0.0649995253835436,-0.06499952651710497,-0.06499952652755614,-0.06499952726044671
0.00064,-0.06499951791962952,-0.06499951905334966,-0.06499951906352167,-0.06499951979664706
0.0006500000000000001,-0.06499951045758735,-0.06499951159146279,-0.06499951160135804,-0.06499951233471885
0.0006600000000000001,-0.06499950299740309,-0.06499950413143833,-0.06499950414105327,-0.06499950487464673
0.00067,-0.06499949553907723,-0.0649994966732687,-0.06499949668260764,-0.06499949741643643
0.00068,-0.06499948808263054,-0.0649994892169806,-0.06499948922603933,-0.06499948996009791
0.0006900000000000001,-0.0649994806280395,-0.06499948176254743,-0.06499948177132764,-0.06499948250562204
0.0007000000000000001,-0.0649994731753176,-0.06499947430997917,-0.06499947431848518,-0.06499947505301086
0.00071,-0.06499946572445303,-0.06499946685927221,-0.06499946686749991,-0.06499946760226177
0.00072,-0.06499945827545081,-0.06499945941042702,-0.06499945941837929,-0.06499946015337163
0.0007300000000000001,-0.06499945082832248,-0.06499945196345489,-0.06499945197112773,-0.06499945270635332
0.0007400000000000001,-0.06499944338304903,-0.06499944451834186,-0.0649994445257334,-0.064999445261192
0.00075,-0.06499943593962851,-0.06499943707507895,-0.06499943708219476,-0.06499943781788292
0.00076,-0.06499942849807587,-0.06499942963368152,-0.06499942964052062,-0.06499943037644532
0.0007700000000000001,-0.06499942105837822,-0.06499942219413957,-0.06499942220070336,-0.06499942293685979
0.0007800000000000001,-0.06499941362054538,-0.06499941475646372,-0.06499941476274924,-0.06499941549913997
0.00079,-0.06499940618456812,-0.06499940732064478,-0.06499940732665334,-0.06499940806327445
0.0008,-0.06499939875046346,-0.0649993998866944,-0.06499939989242497,-0.06499940062928
0.0008100000000000001,-0.06499939131820304,-0.0649993924545918,-0.06499939246004595,-0.06499939319713478
0.0008200000000000001,-0.0649993838878009,-0.06499938502434857,-0.06499938502952486,-0.06499938576684688
0.0008300000000000001,-0.0649993764592419,-0.06499937759594711,-0.06499937760084848,-0.06499937833840039
0.00084,-0.06499936903256584,-0.06499937016942357,-0.0649993701740488,-0.06499937091183418
